"version","experiment","variant","camera","file","bytes"
"v3","v3_B","slow_low_damp","CAM_Top","v3\v3_B\slow_low_damp\CAM_Top\v3_B_slow_low_damp_CAM_Top_0001-0240.mp4","833455"
"v3","v3_C","base","CAM_Main","v3\v3_C\base\CAM_Main\v3_C_base_CAM_Main_0001-0240.mp4","602418"
"v3","v3_C","base","CAM_Side","v3\v3_C\base\CAM_Side\v3_C_base_CAM_Side_0001-0240.mp4","593713"
"v3","v3_C","base","CAM_Top","v3\v3_C\base\CAM_Top\v3_C_base_CAM_Top_0001-0240.mp4","726769"
"v3","v3_C","high_mu_lossy","CAM_Main","v3\v3_C\high_mu_lossy\CAM_Main\v3_C_high_mu_lossy_CAM_Main_0001-0240.mp4","596341"
"v3","v3_C","high_mu_lossy","CAM_Side","v3\v3_C\high_mu_lossy\CAM_Side\v3_C_high_mu_lossy_CAM_Side_0001-0240.mp4","592140"
"v3","v3_C","high_mu_lossy","CAM_Top","v3\v3_C\high_mu_lossy\CAM_Top\v3_C_high_mu_lossy_CAM_Top_0001-0240.mp4","724016"
"v3","v3_C","low_g_mid_mu","CAM_Main","v3\v3_C\low_g_mid_mu\CAM_Main\v3_C_low_g_mid_mu_CAM_Main_0001-0240.mp4","602003"
"v3","v3_C","low_g_mid_mu","CAM_Side","v3\v3_C\low_g_mid_mu\CAM_Side\v3_C_low_g_mid_mu_CAM_Side_0001-0240.mp4","596021"
"v3","v3_C","low_g_mid_mu","CAM_Top","v3\v3_C\low_g_mid_mu\CAM_Top\v3_C_low_g_mid_mu_CAM_Top_0001-0240.mp4","730538"
"v3","v3_C","low_mu_bouncy","CAM_Main","v3\v3_C\low_mu_bouncy\CAM_Main\v3_C_low_mu_bouncy_CAM_Main_0001-0240.mp4","608052"
"v3","v3_C","low_mu_bouncy","CAM_Side","v3\v3_C\low_mu_bouncy\CAM_Side\v3_C_low_mu_bouncy_CAM_Side_0001-0240.mp4","602059"
"v3","v3_C","low_mu_bouncy","CAM_Top","v3\v3_C\low_mu_bouncy\CAM_Top\v3_C_low_mu_bouncy_CAM_Top_0001-0240.mp4","731246"
"v3","v3_D","base","CAM_Main","v3\v3_D\base\CAM_Main\v3_D_base_CAM_Main_0001-0240.mp4","621532"
"v3","v3_D","base","CAM_Side","v3\v3_D\base\CAM_Side\v3_D_base_CAM_Side_0001-0240.mp4","594684"
"v3","v3_D","base","CAM_Top","v3\v3_D\base\CAM_Top\v3_D_base_CAM_Top_0001-0240.mp4","671922"
"v3","v3_D","earth_low_zone","CAM_Main","v3\v3_D\earth_low_zone\CAM_Main\v3_D_earth_low_zone_CAM_Main_0001-0240.mp4","626699"
"v3","v3_D","earth_low_zone","CAM_Side","v3\v3_D\earth_low_zone\CAM_Side\v3_D_earth_low_zone_CAM_Side_0001-0240.mp4","605005"
"v3","v3_D","earth_low_zone","CAM_Top","v3\v3_D\earth_low_zone\CAM_Top\v3_D_earth_low_zone_CAM_Top_0001-0240.mp4","678043"
"v3","v3_D","high_g_high_zone","CAM_Main","v3\v3_D\high_g_high_zone\CAM_Main\v3_D_high_g_high_zone_CAM_Main_0001-0240.mp4","619201"
"v3","v3_D","high_g_high_zone","CAM_Side","v3\v3_D\high_g_high_zone\CAM_Side\v3_D_high_g_high_zone_CAM_Side_0001-0240.mp4","593548"
"v3","v3_D","high_g_high_zone","CAM_Top","v3\v3_D\high_g_high_zone\CAM_Top\v3_D_high_g_high_zone_CAM_Top_0001-0240.mp4","667057"
"v3","v3_D","low_g_low_zone","CAM_Main","v3\v3_D\low_g_low_zone\CAM_Main\v3_D_low_g_low_zone_CAM_Main_0001-0240.mp4","625725"
"v3","v3_D","low_g_low_zone","CAM_Side","v3\v3_D\low_g_low_zone\CAM_Side\v3_D_low_g_low_zone_CAM_Side_0001-0240.mp4","600690"
"v3","v3_D","low_g_low_zone","CAM_Top","v3\v3_D\low_g_low_zone\CAM_Top\v3_D_low_g_low_zone_CAM_Top_0001-0240.mp4","671143"
"v3","v3_E","base","CAM_Main","v3\v3_E\base\CAM_Main\v3_E_base_CAM_Main_0001-0240.mp4","648036"
"v3","v3_E","base","CAM_Side","v3\v3_E\base\CAM_Side\v3_E_base_CAM_Side_0001-0240.mp4","614016"
"v3","v3_E","base","CAM_Top","v3\v3_E\base\CAM_Top\v3_E_base_CAM_Top_0001-0240.mp4","825348"
"v3","v3_E","high_roll_bouncy","CAM_Main","v3\v3_E\high_roll_bouncy\CAM_Main\v3_E_high_roll_bouncy_CAM_Main_0001-0240.mp4","647064"
"v3","v3_E","high_roll_bouncy","CAM_Side","v3\v3_E\high_roll_bouncy\CAM_Side\v3_E_high_roll_bouncy_CAM_Side_0001-0240.mp4","611796"
"v3","v3_E","high_roll_bouncy","CAM_Top","v3\v3_E\high_roll_bouncy\CAM_Top\v3_E_high_roll_bouncy_CAM_Top_0001-0240.mp4","825365"
"v3","v3_E","high_roll_lossy","CAM_Main","v3\v3_E\high_roll_lossy\CAM_Main\v3_E_high_roll_lossy_CAM_Main_0001-0240.mp4","645570"
"v3","v3_E","high_roll_lossy","CAM_Side","v3\v3_E\high_roll_lossy\CAM_Side\v3_E_high_roll_lossy_CAM_Side_0001-0240.mp4","612511"
"v3","v3_E","high_roll_lossy","CAM_Top","v3\v3_E\high_roll_lossy\CAM_Top\v3_E_high_roll_lossy_CAM_Top_0001-0240.mp4","820463"
"v3","v3_E","low_roll_bouncy","CAM_Main","v3\v3_E\low_roll_bouncy\CAM_Main\v3_E_low_roll_bouncy_CAM_Main_0001-0240.mp4","649477"
"v3","v3_E","low_roll_bouncy","CAM_Side","v3\v3_E\low_roll_bouncy\CAM_Side\v3_E_low_roll_bouncy_CAM_Side_0001-0240.mp4","613982"
"v3","v3_E","low_roll_bouncy","CAM_Top","v3\v3_E\low_roll_bouncy\CAM_Top\v3_E_low_roll_bouncy_CAM_Top_0001-0240.mp4","821601"
"v3","v3_F","base","CAM_Main","v3\v3_F\base\CAM_Main\v3_F_base_CAM_Main_0001-0240.mp4","569752"
"v3","v3_F","base","CAM_Side","v3\v3_F\base\CAM_Side\v3_F_base_CAM_Side_0001-0240.mp4","519782"
"v3","v3_F","base","CAM_Top","v3\v3_F\base\CAM_Top\v3_F_base_CAM_Top_0001-0240.mp4","625278"
